0  773 0 0
1  4 0 0
1 1 550 0 0
0 1 1818 0 0
1 0 356 0 0
0 0 22 0 0
0 11 1527 0 0
1 11 878 0 0
1 01 731 0 0
1 00 73 0 0
0 01 34 0 0
1 001 288 0 0
1 011 1162 0 0
0 111 633 0 0
1 111 718 0 0
0 011 34 0 0
1 000 3 0 0
1 0111 1298 0 0
0 1111 131 0 0
1 0011 524 0 0
1 1111 360 0 0
1 0001 24 0 0
0 0111 11 0 0
1 00111 767 0 0
1 01111 793 0 0
1 11111 93 0 0
0 11111 15 0 0
1 00011 56 0 0
0 01111 2 0 0
1 011111 270 0 0
1 001111 497 0 0
1 000111 114 0 0
1 111111 10 0 0
1 000011 3 0 0
1 0111111 49 0 0
1 0001111 96 0 0
1 0011111 196 0 0
1 0000111 8 0 0
1 00111111 23 0 0
1 00011111 42 0 0
1 01111111 1 0 0
1 00001111 7 0 0
1 000111111 4 0 0
1 000011111 2 0 0
